season,candidate,rps
2015/16,bookmaker,0.20714960716472747
2015/16,fixed_carry_v2,0.224301750725964
2015/16,fixed_fresh_v2,0.21802877708036583
2015/16,n0_carry_v2,0.2728022981229851
2015/16,n0_fresh_v2,0.26927226723639164
2015/16,n144_carry_v2,0.22477758395598216
2015/16,n144_fresh_v2,0.21872911474718942
2015/16,n36_carry_v2,0.22572286622322263
2015/16,n36_fresh_v2,0.22367050457983623
2015/16,n72_carry_v2,0.22541656168179006
2015/16,n72_fresh_v2,0.2201196303648017
2016/17,bookmaker,0.19042656269494726
2016/17,fixed_carry_v2,0.1958266893630127
2016/17,fixed_fresh_v2,0.19946360154251536
2016/17,n0_carry_v2,0.20073394924022725
2016/17,n0_fresh_v2,0.2035756496688028
2016/17,n144_carry_v2,0.19438537406632606
2016/17,n144_fresh_v2,0.19628937903502516
2016/17,n36_carry_v2,0.193224494385688
2016/17,n36_fresh_v2,0.19572876485072205
2016/17,n72_carry_v2,0.19446040573252565
2016/17,n72_fresh_v2,0.19706612233924556
2017/18,bookmaker,0.20089244642208698
2017/18,fixed_carry_v2,0.20654014901686182
2017/18,fixed_fresh_v2,0.21071171927631532
2017/18,n0_carry_v2,0.2025548930560163
2017/18,n0_fresh_v2,0.20731900771758052
2017/18,n144_carry_v2,0.20561405530956764
2017/18,n144_fresh_v2,0.20971206689281535
2017/18,n36_carry_v2,0.20600844738245286
2017/18,n36_fresh_v2,0.2096194483624345
2017/18,n72_carry_v2,0.2047744254802337
2017/18,n72_fresh_v2,0.2090304421011955
2018/19,bookmaker,0.20391189512124513
2018/19,fixed_carry_v2,0.20706855252558728
2018/19,fixed_fresh_v2,0.20809770848492581
2018/19,n0_carry_v2,0.21705731579819793
2018/19,n0_fresh_v2,0.2208673391852698
2018/19,n144_carry_v2,0.20613153051698427
2018/19,n144_fresh_v2,0.2072303669831771
2018/19,n36_carry_v2,0.206256987236953
2018/19,n36_fresh_v2,0.20700307383252894
2018/19,n72_carry_v2,0.205299430813116
2018/19,n72_fresh_v2,0.20723565735004223
2019/20,bookmaker,0.19061505734955453
2019/20,fixed_carry_v2,0.2016029294275634
2019/20,fixed_fresh_v2,0.20601384589816282
2019/20,n0_carry_v2,0.20589557349572282
2019/20,n0_fresh_v2,0.21106920004342702
2019/20,n144_carry_v2,0.20169247083759262
2019/20,n144_fresh_v2,0.20735274833902517
2019/20,n36_carry_v2,0.20421192715256403
2019/20,n36_fresh_v2,0.20835385772154286
2019/20,n72_carry_v2,0.20324271359345175
2019/20,n72_fresh_v2,0.20672757330383468
2020/21,bookmaker,0.1778960925973752
2020/21,fixed_carry_v2,0.18402105339723213
2020/21,fixed_fresh_v2,0.19324512068926225
2020/21,n0_carry_v2,0.2565437028892813
2020/21,n0_fresh_v2,0.2689168939228331
2020/21,n144_carry_v2,0.18604471119561505
2020/21,n144_fresh_v2,0.1945921269923373
2020/21,n36_carry_v2,0.18971817598216908
2020/21,n36_fresh_v2,0.19878773570325228
2020/21,n72_carry_v2,0.1865390315254098
2020/21,n72_fresh_v2,0.19548700289940563
2021/22,bookmaker,0.17696452783038824
2021/22,fixed_carry_v2,0.1903910209820192
2021/22,fixed_fresh_v2,0.19312781827730996
2021/22,n0_carry_v2,0.20544977389025199
2021/22,n0_fresh_v2,0.21038726935325058
