season,phase,strategy,n,rps
2022/23,matchdays_1_5,fixed_preseason,45,0.22255002064485477
2022/23,matchdays_1_5,updating_prior,45,0.2160218296172616
2022/23,matchdays_1_5,midseason_reset,45,0.2160218296172616
2022/23,matchdays_1_5,bookmaker,45,0.21613707639024382
2022/23,matchdays_6_17,fixed_preseason,108,0.216863321998167
2022/23,matchdays_6_17,updating_prior,108,0.20547276799715977
2022/23,matchdays_6_17,midseason_reset,108,0.20547276799715977
2022/23,matchdays_6_17,bookmaker,108,0.19948048933377097
2022/23,matchdays_18_34,fixed_preseason,153,0.21056748197328545
2022/23,matchdays_18_34,updating_prior,153,0.22006359475041143
2022/23,matchdays_18_34,midseason_reset,153,0.21459503049600498
2022/23,matchdays_18_34,bookmaker,153,0.20470277458410505
2023/24,matchdays_1_5,fixed_preseason,45,0.2114167162675099
2023/24,matchdays_1_5,updating_prior,45,0.20496102620399512
2023/24,matchdays_1_5,midseason_reset,45,0.20496102620399512
2023/24,matchdays_1_5,bookmaker,45,0.16326920729925004
2023/24,matchdays_6_17,fixed_preseason,108,0.21457591590097327
2023/24,matchdays_6_17,updating_prior,108,0.1971088963125018
2023/24,matchdays_6_17,midseason_reset,108,0.1971088963125018
2023/24,matchdays_6_17,bookmaker,108,0.18727820058413117
2023/24,matchdays_18_34,fixed_preseason,153,0.22115272893027654
2023/24,matchdays_18_34,updating_prior,153,0.19880238558578095
2023/24,matchdays_18_34,midseason_reset,153,0.193871239753618
2023/24,matchdays_18_34,bookmaker,153,0.18843480377839497
2024/25,matchdays_1_5,fixed_preseason,45,0.22683227146938306
2024/25,matchdays_1_5,updating_prior,45,0.22634372604358183
2024/25,matchdays_1_5,midseason_reset,45,0.22634372604358183
2024/25,matchdays_1_5,bookmaker,45,0.1847197328622517
2024/25,matchdays_6_17,fixed_preseason,108,0.21234889370112964
2024/25,matchdays_6_17,updating_prior,108,0.2154783545444894
2024/25,matchdays_6_17,midseason_reset,108,0.2154783545444894
2024/25,matchdays_6_17,bookmaker,108,0.19075287289964382
2024/25,matchdays_18_34,fixed_preseason,153,0.23233055153045498
2024/25,matchdays_18_34,updating_prior,153,0.2488239604105498
2024/25,matchdays_18_34,midseason_reset,153,0.21862863725821133
2024/25,matchdays_18_34,bookmaker,153,0.21485668612956915
POOLED,full_season,fixed_preseason,918,0.21880701551461046
POOLED,full_season,updating_prior,918,0.21572629537518256
POOLED,full_season,midseason_reset,918,0.20896045650203124
POOLED,full_season,bookmaker,918,0.1969281503228868
POOLED,matchdays_1_5,fixed_preseason,135,0.22026633612724925
POOLED,matchdays_1_5,updating_prior,135,0.21577552728827953
POOLED,matchdays_1_5,midseason_reset,135,0.21577552728827953
POOLED,matchdays_1_5,bookmaker,135,0.18804200551724848
POOLED,matchdays_6_17,fixed_preseason,324,0.21459604386675663
POOLED,matchdays_6_17,updating_prior,324,0.20602000628471703
POOLED,matchdays_6_17,midseason_reset,324,0.20602000628471703
POOLED,matchdays_6_17,bookmaker,324,0.19250385427251532
POOLED,matchdays_18_34,fixed_preseason,459,0.22135025414467233
POOLED,matchdays_18_34,updating_prior,459,0.22256331358224735
POOLED,matchdays_18_34,midseason_reset,459,0.20903163583594475
POOLED,matchdays_18_34,bookmaker,459,0.20266475483068971
