candidate,config,strategy,phase,n,rps
level_all10:bookmaker,level_all10,bookmaker,full_season,3366,0.19891760652088933
level_all10:soft_blend_h17,level_all10,soft_blend_h17,full_season,3366,0.20948333143593595
level_all10:soft_blend_h10,level_all10,soft_blend_h10,full_season,3366,0.20954038358522906
level_all10:soft_blend_h6,level_all10,soft_blend_h6,full_season,3366,0.20987101169339947
level_all10:cosine_taper_k18,level_all10,cosine_taper_k18,full_season,3366,0.21009930634135646
level_all10:cosine_taper_k30,level_all10,cosine_taper_k30,full_season,3366,0.21010840521524685
level_all10:cosine_taper_k25,level_all10,cosine_taper_k25,full_season,3366,0.21016417658316786
level_all10:soft_blend_h3,level_all10,soft_blend_h3,full_season,3366,0.21056547770272163
level_all10:midseason_reset,level_all10,midseason_reset,full_season,3366,0.21123336774034912
level_all10:updating_prior,level_all10,updating_prior,full_season,3366,0.21129980621181477
level_all10:current_only,level_all10,current_only,full_season,3366,0.2135862477363344
level_all10:bookmaker,level_all10,bookmaker,matchdays_18_34,1683,0.19922084728144246
level_all10:soft_blend_h17,level_all10,soft_blend_h17,matchdays_18_34,1683,0.20825822248850714
level_all10:soft_blend_h10,level_all10,soft_blend_h10,matchdays_18_34,1683,0.20874269431789852
level_all10:cosine_taper_k30,level_all10,cosine_taper_k30,matchdays_18_34,1683,0.20916641230893415
level_all10:soft_blend_h6,level_all10,soft_blend_h6,matchdays_18_34,1683,0.2093204191733902
level_all10:cosine_taper_k25,level_all10,cosine_taper_k25,matchdays_18_34,1683,0.20958716811197986
level_all10:soft_blend_h3,level_all10,soft_blend_h3,matchdays_18_34,1683,0.20968449035526157
level_all10:current_only,level_all10,current_only,matchdays_18_34,1683,0.20971906456556508
level_all10:midseason_reset,level_all10,midseason_reset,matchdays_18_34,1683,0.20971906456556508
level_all10:cosine_taper_k18,level_all10,cosine_taper_k18,matchdays_18_34,1683,0.20971906456556508
level_all10:updating_prior,level_all10,updating_prior,matchdays_18_34,1683,0.20985194150849637
level_all10:bookmaker,level_all10,bookmaker,matchdays_1_5,495,0.19230686111966772
level_all10:cosine_taper_k25,level_all10,cosine_taper_k25,matchdays_1_5,495,0.20759819630910856
level_all10:soft_blend_h17,level_all10,soft_blend_h17,matchdays_1_5,495,0.207604134063898
level_all10:cosine_taper_k30,level_all10,cosine_taper_k30,matchdays_1_5,495,0.20760448108343252
level_all10:cosine_taper_k18,level_all10,cosine_taper_k18,matchdays_1_5,495,0.2076058097987155
level_all10:updating_prior,level_all10,updating_prior,matchdays_1_5,495,0.20763374494139103
level_all10:midseason_reset,level_all10,midseason_reset,matchdays_1_5,495,0.20763374494139103
level_all10:soft_blend_h10,level_all10,soft_blend_h10,matchdays_1_5,495,0.2077508361388851
level_all10:soft_blend_h6,level_all10,soft_blend_h6,matchdays_1_5,495,0.20818515489667963
level_all10:soft_blend_h3,level_all10,soft_blend_h3,matchdays_1_5,495,0.2097961986838934
level_all10:current_only,level_all10,current_only,matchdays_1_5,495,0.22726729128066706
level_all10:bookmaker,level_all10,bookmaker,matchdays_6_17,1188,0.20124249269394812
level_all10:soft_blend_h6,level_all10,soft_blend_h6,matchdays_6_17,1188,0.21135345809537906
level_all10:soft_blend_h10,level_all10,soft_blend_h10,matchdays_6_17,1188,0.21141608814992408
level_all10:cosine_taper_k18,level_all10,cosine_taper_k18,matchdays_6_17,1188,0.21167693908316138
level_all10:soft_blend_h17,level_all10,soft_blend_h17,matchdays_6_17,1188,0.21200190134980926
level_all10:cosine_taper_k25,level_all10,cosine_taper_k25,matchdays_6_17,1188,0.21205076369820874
level_all10:soft_blend_h3,level_all10,soft_blend_h3,matchdays_6_17,1188,0.21213407603613513
level_all10:cosine_taper_k30,level_all10,cosine_taper_k30,matchdays_6_17,1188,0.21248619688744583
level_all10:current_only,level_all10,current_only,matchdays_6_17,1188,0.21336432241811903
level_all10:updating_prior,level_all10,updating_prior,matchdays_6_17,1188,0.21487847340419244
level_all10:midseason_reset,level_all10,midseason_reset,matchdays_6_17,1188,0.21487847340419244
