candidate,config,strategy,phase,n,rps
carry75:bookmaker,carry75,bookmaker,full_season,1224,0.19959975734526655
carry75:soft_blend_h17,carry75,soft_blend_h17,full_season,1224,0.21392315509949777
carry75:soft_blend_h10,carry75,soft_blend_h10,full_season,1224,0.21402654630316043
carry75:soft_blend_h6,carry75,soft_blend_h6,full_season,1224,0.21446753128690052
delta05_early2:updating_prior,delta05_early2,updating_prior,full_season,1224,0.2148922776737108
level_all10:updating_prior,level_all10,updating_prior,full_season,1224,0.21493239874721023
carry75:soft_blend_h3,carry75,soft_blend_h3,full_season,1224,0.21518950016868807
delta05:updating_prior,delta05,updating_prior,full_season,1224,0.21534063969153783
delta10:updating_prior,delta10,updating_prior,full_season,1224,0.2158878352356448
carry50:updating_prior,carry50,updating_prior,full_season,1224,0.2159175995210955
carry75:midseason_reset,carry75,midseason_reset,full_season,1224,0.2163631591796921
early2:updating_prior,early2,updating_prior,full_season,1224,0.2167815519072545
carry75:current_only,carry75,current_only,full_season,1224,0.21738321860417498
carry75:updating_prior,carry75,updating_prior,full_season,1224,0.21757712563733228
carry75:fixed_preseason,carry75,fixed_preseason,full_season,1224,0.2216041066057503
carry75:bookmaker,carry75,bookmaker,matchdays_18_34,612,0.19467604455605983
carry75:soft_blend_h17,carry75,soft_blend_h17,matchdays_18_34,612,0.21146459949472046
carry50:updating_prior,carry50,updating_prior,matchdays_18_34,612,0.21192908917981737
carry75:soft_blend_h10,carry75,soft_blend_h10,matchdays_18_34,612,0.21220063814730786
delta10:updating_prior,delta10,updating_prior,matchdays_18_34,612,0.21306810735442644
carry75:soft_blend_h6,carry75,soft_blend_h6,matchdays_18_34,612,0.21308845225740164
carry75:soft_blend_h3,carry75,soft_blend_h3,matchdays_18_34,612,0.21357767841407393
carry75:current_only,carry75,current_only,matchdays_18_34,612,0.21361319387869487
carry75:midseason_reset,carry75,midseason_reset,matchdays_18_34,612,0.21361319387869487
delta05:updating_prior,delta05,updating_prior,matchdays_18_34,612,0.21439185641064665
delta05_early2:updating_prior,delta05_early2,updating_prior,matchdays_18_34,612,0.2148665878837336
early2:updating_prior,early2,updating_prior,matchdays_18_34,612,0.21509622081215407
carry75:updating_prior,carry75,updating_prior,matchdays_18_34,612,0.21604112679397525
level_all10:updating_prior,level_all10,updating_prior,matchdays_18_34,612,0.21677041953228898
carry75:fixed_preseason,carry75,fixed_preseason,matchdays_18_34,612,0.22019604714476984
carry75:bookmaker,carry75,bookmaker,matchdays_1_5,180,0.1873468932246408
level_all10:updating_prior,level_all10,updating_prior,matchdays_1_5,180,0.1980386060715473
delta05_early2:updating_prior,delta05_early2,updating_prior,matchdays_1_5,180,0.2028842343182151
delta05:updating_prior,delta05,updating_prior,matchdays_1_5,180,0.2034629510004289
early2:updating_prior,early2,updating_prior,matchdays_1_5,180,0.20405370380123217
carry75:updating_prior,carry75,updating_prior,matchdays_1_5,180,0.20566568900589138
carry75:midseason_reset,carry75,midseason_reset,matchdays_1_5,180,0.20566568900589138
carry75:soft_blend_h17,carry75,soft_blend_h17,matchdays_1_5,180,0.20567939658246104
carry75:soft_blend_h10,carry75,soft_blend_h10,matchdays_1_5,180,0.20585240715024086
carry75:soft_blend_h6,carry75,soft_blend_h6,matchdays_1_5,180,0.20631803104720506
delta10:updating_prior,delta10,updating_prior,matchdays_1_5,180,0.20671733651921176
carry75:soft_blend_h3,carry75,soft_blend_h3,matchdays_1_5,180,0.2079349241806657
carry50:updating_prior,carry50,updating_prior,matchdays_1_5,180,0.21026273962359138
carry75:fixed_preseason,carry75,fixed_preseason,matchdays_1_5,180,0.21046596266529838
carry75:current_only,carry75,current_only,matchdays_1_5,180,0.2201301568911071
carry75:bookmaker,carry75,bookmaker,matchdays_6_17,432,0.21168037718023688
level_all10:updating_prior,level_all10,updating_prior,matchdays_6_17,432,0.21936761624987497
carry75:soft_blend_h6,carry75,soft_blend_h6,matchdays_6_17,432,0.21981685167856374
delta05_early2:updating_prior,delta05_early2,updating_prior,matchdays_6_17,432,0.2199320229409684
carry75:soft_blend_h10,carry75,soft_blend_h10,matchdays_6_17,432,0.22001914083766813
carry75:soft_blend_h3,carry75,soft_blend_h3,matchdays_6_17,432,0.2204956543160674
carry75:soft_blend_h17,carry75,soft_blend_h17,matchdays_6_17,432,0.22084100825503103
carry75:current_only,carry75,current_only,matchdays_6_17,432,0.2215795293457169
delta05:updating_prior,delta05,updating_prior,matchdays_6_17,432,0.22163378629409566
delta10:updating_prior,delta10,updating_prior,matchdays_6_17,432,0.22370349086588456
carry50:updating_prior,carry50,updating_prior,matchdays_6_17,432,0.2239241807951995
early2:updating_prior,early2,updating_prior,matchdays_6_17,432,0.22447237433615608
carry75:updating_prior,carry75,updating_prior,matchdays_6_17,432,0.22471622259518848
carry75:midseason_reset,carry75,midseason_reset,matchdays_6_17,432,0.22471622259518848
carry75:fixed_preseason,carry75,fixed_preseason,matchdays_6_17,432,0.2282397508173276
