sample,focus,reference,n_matches,n_seasons,rps_advantage,ci_low,ci_high,bootstrap
full_all,soft_blend_h17,soft_blend_h10,3366,11,5.7052149293125e-05,-0.00043471941880847366,0.000526461612723011,season_cluster
full_all,soft_blend_h17,cosine_taper_k30,3366,11,0.0006250737793109062,4.34837116617201e-05,0.0012504655038844846,season_cluster
full_all,soft_blend_h17,current_only,3366,11,0.004102916300398456,0.002093994499650282,0.006058491800980119,season_cluster
full_all,soft_blend_h17,updating_prior,3366,11,0.0018164747758788347,0.00043781109203514857,0.0033126693872870426,season_cluster
full_all,soft_blend_h17,midseason_reset,3366,11,0.0017500363044131806,0.0008942994713151005,0.002636855697389617,season_cluster
full_all,soft_blend_h17,bookmaker,3366,11,-0.010565724915046629,-0.011742932899551592,-0.00946451065354275,season_cluster
full_pre_holdout,soft_blend_h17,soft_blend_h10,3060,10,3.00836335896746e-05,-0.0004993154220895689,0.0005400094698914199,season_cluster
full_pre_holdout,soft_blend_h17,cosine_taper_k30,3060,10,0.0006019701775608596,-4.214508799281515e-05,0.001284008133170816,season_cluster
full_pre_holdout,soft_blend_h17,current_only,3060,10,0.004005209144130781,0.001823937897633268,0.006238965586438288,season_cluster
full_pre_holdout,soft_blend_h17,updating_prior,3060,10,0.0019462922746945705,0.0004428741823271974,0.0035307428300551994,season_cluster
full_pre_holdout,soft_blend_h17,midseason_reset,3060,10,0.0017429695510446021,0.0008042565396076555,0.002736402172533094,season_cluster
full_pre_holdout,soft_blend_h17,bookmaker,3060,10,-0.010169757985075528,-0.011106150609774731,-0.009261463429538873,season_cluster
full_holdout,soft_blend_h17,soft_blend_h10,306,1,0.00032673730632762897,-0.0008275094927289513,0.0014888698137062327,match
full_holdout,soft_blend_h17,cosine_taper_k30,306,1,0.000856109796811372,-0.0004589569426599874,0.002178173582325468,match
full_holdout,soft_blend_h17,current_only,306,1,0.005079987863075193,-0.000568236690372048,0.010711132107905872,match
full_holdout,soft_blend_h17,updating_prior,306,1,0.0005182997877214798,-0.0027788090518855437,0.0038152373895835793,match
full_holdout,soft_blend_h17,midseason_reset,306,1,0.001820703838098968,-0.0005307810063218455,0.004138636822982053,match
full_holdout,soft_blend_h17,bookmaker,306,1,-0.014525394214757657,-0.022020779045306763,-0.007168082982555755,match
late_all,soft_blend_h17,soft_blend_h10,1022,11,0.0003772218951056393,-0.0003739026936282738,0.001203228200634784,season_cluster
late_all,soft_blend_h17,cosine_taper_k30,1022,11,0.0008576767960718179,-0.00045052934188092496,0.002332599625278712,season_cluster
late_all,soft_blend_h17,current_only,1022,11,0.001053634662774617,-0.0002912372010854541,0.002551913672993752,season_cluster
late_all,soft_blend_h17,updating_prior,1022,11,0.0022725035546464697,-0.0011248047375141195,0.005367226803582012,season_cluster
late_all,soft_blend_h17,fixed_preseason,1022,11,0.00020018596732406728,-0.005923042338977324,0.006868116797975106,season_cluster
late_all,soft_blend_h17,standalone_original,1022,11,0.0013639508568392387,-0.0028429516738122623,0.005206260059149508,season_cluster
late_all,soft_blend_h17,bookmaker,1022,11,-0.010000661717851893,-0.0157496193516999,-0.004494317174512288,season_cluster
late_pre_holdout,soft_blend_h17,soft_blend_h10,928,10,0.0002969308596011043,-0.0005071283359231823,0.0012122138447112425,season_cluster
late_pre_holdout,soft_blend_h17,cosine_taper_k30,928,10,0.0007181816435782142,-0.0006916112425227923,0.0023216583542143582,season_cluster
late_pre_holdout,soft_blend_h17,current_only,928,10,0.0009234109935783515,-0.0005231966985954513,0.0025839022467028707,season_cluster
late_pre_holdout,soft_blend_h17,updating_prior,928,10,0.002684201349361027,-0.0009987894272546019,0.006014403922592361,season_cluster
late_pre_holdout,soft_blend_h17,fixed_preseason,928,10,0.0012560144626702645,-0.005243286342882894,0.008092239914959429,season_cluster
late_pre_holdout,soft_blend_h17,standalone_original,928,10,0.001540554934618276,-0.0030875582499824967,0.005731434025285683,season_cluster
late_pre_holdout,soft_blend_h17,bookmaker,928,10,-0.00914875459327386,-0.01522801271394169,-0.003448500819208193,season_cluster
late_holdout,soft_blend_h17,soft_blend_h10,94,1,0.0011698823307248762,-0.0007898206177009599,0.0032023104607915784,match
late_holdout,soft_blend_h17,cosine_taper_k30,94,1,0.0022348204292001596,-0.001259752472377641,0.005683387401140961,match
late_holdout,soft_blend_h17,current_only,94,1,0.002339247056542004,-0.0013028652565533377,0.0060105783773419415,match
late_holdout,soft_blend_h17,updating_prior,94,1,-0.0017919172272163853,-0.009467875356830056,0.005986626564345756,match
late_holdout,soft_blend_h17,fixed_preseason,94,1,-0.010223312369710727,-0.024456579825440722,0.004993374300319263,match
late_holdout,soft_blend_h17,standalone_original,94,1,-0.0003795447195325361,-0.010180902500757899,0.009301421680786922,match
late_holdout,soft_blend_h17,bookmaker,94,1,-0.018410978862622253,-0.03361765617793153,-0.0035505160655313625,match
