strategy,reference,n,rps_advantage,ci_low,ci_high
soft_blend_h17,bookmaker,1022,-0.010000661717851893,-0.01476911988953515,-0.005137077789146256
soft_blend_h17,fixed_preseason,1022,0.00020018596732407042,-0.004988771871928625,0.005277485064600418
soft_blend_h17,soft_blend_h10,1022,0.00037722189510564045,-0.00029069460777138615,0.0010475331541793399
soft_blend_h17,cosine_taper_k30,1022,0.0008576767960718182,-0.0002847209998844503,0.002001365283750345
soft_blend_h17,current_only,1022,0.0010536346627746174,-0.00016442235270270437,0.002282041494204278
soft_blend_h17,midseason_reset,1022,0.0010536346627746174,-0.00014967110269961334,0.002265907026497026
soft_blend_h17,cosine_taper_k18,1022,0.0010536346627746174,-0.00016344131862493913,0.00226997604170587
soft_blend_h17,cosine_taper_k25,1022,0.0010538904694431656,-0.00016969958658705312,0.002251473731052618
soft_blend_h17,standalone_original,1022,0.0013639508568392413,-0.0019553727176678244,0.004680568328416008
soft_blend_h17,updating_prior,1022,0.002272503554646472,-0.00042568856394733416,0.004954981564612261
